LGA_CODE_2014,LGA_NAME_2014,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
25620,Murrindindi (S),25620,Murrindindi (S),1,Good,Good,0
25710,Nillumbik (S),25710,Nillumbik (S),1,Good,Good,0
25810,Northern Grampians (S),25810,Northern Grampians (S),1,Good,Good,0
25900,Port Phillip (C),25900,Port Phillip (C),1,Good,Good,0
25990,Pyrenees (S),25990,Pyrenees (S),1,Good,Good,0
26080,Queenscliffe (B),26080,Queenscliffe (B),0.9999997,Good,Good,0
26080,Queenscliffe (B),,,3.00E-07,NA,Good,4
26170,South Gippsland (S),26170,South Gippsland (S),1,Good,Good,0
26260,Southern Grampians (S),26260,Southern Grampians (S),1,Good,Good,0
26350,Stonnington (C),26350,Stonnington (C),1,Good,Good,0
26430,Strathbogie (S),26430,Strathbogie (S),1,Good,Good,0
26490,Surf Coast (S),26490,Surf Coast (S),1,Good,Good,0
26610,Swan Hill (RC),26610,Swan Hill (RC),1,Good,Good,0
26670,Towong (S),26670,Towong (S),1,Good,Good,0
26700,Wangaratta (RC),26700,Wangaratta (RC),1,Good,Good,0
26730,Warrnambool (C),26730,Warrnambool (C),1,Good,Good,0
26810,Wellington (S),22110,East Gippsland (S),2.00E-07,Good,Good,1
26810,Wellington (S),26810,Wellington (S),0.9999998,Good,Good,0
26890,West Wimmera (S),26890,West Wimmera (S),1,Good,Good,0
26980,Whitehorse (C),26980,Whitehorse (C),1,Good,Good,0
27070,Whittlesea (C),27070,Whittlesea (C),1,Good,Good,0
27170,Wodonga (RC),27170,Wodonga (C),1,Good,Good,0
27260,Wyndham (C),27260,Wyndham (C),1,Good,Good,0
27350,Yarra (C),27350,Yarra (C),1,Good,Good,0
27450,Yarra Ranges (S),27450,Yarra Ranges (S),1,Good,Good,0
27630,Yarriambiack (S),27630,Yarriambiack (S),1,Good,Good,0
29399,Unincorporated Vic,29399,Unincorporated Vic,1,Good,Good,0
30250,Aurukun (S),30250,Aurukun (S),1,Good,Good,0
30300,Balonne (S),30300,Balonne (S),0.9994034,Good,Good,0
30300,Balonne (S),33610,Goondiwindi (R),0.0005966,Good,Good,1
30370,Banana (S),30370,Banana (S),0.9999862,Good,Good,0
30370,Banana (S),36370,Rockhampton (R),1.38E-05,Good,Good,1
30410,Barcaldine (R),30410,Barcaldine (R),1,Good,Good,0
30450,Barcoo (S),30450,Barcoo (S),1,Good,Good,0
30760,Blackall-Tambo (R),30760,Blackall-Tambo (R),1,Good,Good,0
30900,Boulia (S),30900,Boulia (S),1,Good,Good,0
31000,Brisbane (C),31000,Brisbane (C),1,Good,Good,0
31000,Brisbane (C),35010,Moreton Bay (R),0,Good,Good,1
31750,Bulloo (S),31750,Bulloo (S),1,Good,Good,0
31820,Bundaberg (R),31820,Bundaberg (R),0.9999889,Good,Good,0
31820,Bundaberg (R),33360,Gladstone (R),1.11E-05,Good,Good,1
31900,Burdekin (S),31900,Burdekin (S),1,Good,Good,0
31950,Burke (S),31950,Burke (S),1,Good,Good,0
32080,Cairns (R),32080,Cairns (R),1,Good,Good,0
32250,Carpentaria (S),32250,Carpentaria (S),1,Good,Good,0
32260,Cassowary Coast (R),32260,Cassowary Coast (R),1,Good,Good,0
32270,Central Highlands (R),32270,Central Highlands (R) (Qld),1,Good,Good,0
32310,Charters Towers (R),32310,Charters Towers (R),1,Good,Good,0
32330,Cherbourg (S),32330,Cherbourg (S),1,Good,Good,0
32450,Cloncurry (S),32450,Cloncurry (S),1,Good,Good,0
32500,Cook (S),32500,Cook (S),0.9992724,Good,Good,0
32500,Cook (S),33830,Hope Vale (S),0.0007226,Good,Good,1
32500,Cook (S),34570,Lockhart River (S),2.00E-07,Good,Good,1
32500,Cook (S),37570,Wujal Wujal (S),0,Good,Good,1
32500,Cook (S),,,4.80E-06,NA,Good,4
32600,Croydon (S),32600,Croydon (S),1,Good,Good,0
32750,Diamantina (S),32750,Diamantina (S),1,Good,Good,0
32770,Doomadgee (S),32770,Doomadgee (S),1,Good,Good,0
32810,Douglas (S),32810,Douglas (S),1,Good,Good,0
33100,Etheridge (S),33100,Etheridge (S),1,Good,Good,0
33200,Flinders (S),33200,Flinders (S) (Qld),1,Good,Good,0
33220,Fraser Coast (R),33220,Fraser Coast (R),0.999979,Good,Good,0
33220,Fraser Coast (R),33620,Gympie (R),2.10E-05,Good,Good,1
33360,Gladstone (R),31820,Bundaberg (R),0,Good,Good,1
33360,Gladstone (R),33360,Gladstone (R),1,Good,Good,0
33430,Gold Coast (C),33430,Gold Coast (C),0.9999939,Good,Good,0
33430,Gold Coast (C),36510,Scenic Rim (R),6.10E-06,Good,Good,1
33610,Goondiwindi (R),33610,Goondiwindi (R),1,Good,Good,0
33620,Gympie (R),33620,Gympie (R),1,Good,Good,0
33800,Hinchinbrook (S),33800,Hinchinbrook (S),1,Good,Good,0
33830,Hope Vale (S),33830,Hope Vale (S),1,Good,Good,0
33960,Ipswich (C),33960,Ipswich (C),0.9999805,Good,Good,0
33960,Ipswich (C),34590,Logan (C),3.00E-07,Good,Good,1
33960,Ipswich (C),36510,Scenic Rim (R),1.91E-05,Good,Good,1
33980,Isaac (R),32270,Central Highlands (R) (Qld),0.0001499,Good,Good,1
33980,Isaac (R),33980,Isaac (R),0.9998501,Good,Good,0
34420,Kowanyama (S),34420,Kowanyama (S),1,Good,Good,0
34530,Livingstone (S),34530,Livingstone (S),1,Good,Good,0
34570,Lockhart River (S),34570,Lockhart River (S),1,Good,Good,0
34580,Lockyer Valley (R),34580,Lockyer Valley (R),1,Good,Good,0
34590,Logan (C),34590,Logan (C),0.9999906,Good,Good,0
34590,Logan (C),36250,Redland (C),5.20E-06,Good,Good,1
34590,Logan (C),36510,Scenic Rim (R),4.20E-06,Good,Good,1
34710,Longreach (R),34710,Longreach (R),1,Good,Good,0
34770,Mackay (R),34770,Mackay (R),1,Good,Good,0
34800,McKinlay (S),34800,McKinlay (S),1,Good,Good,0
34830,Mapoon (S),34830,Mapoon (S),1,Good,Good,0
34860,Maranoa (R),34860,Maranoa (R),1,Good,Good,0
34880,Mareeba (S),34880,Mareeba (S),1,Good,Good,0
34880,Mareeba (S),36820,Tablelands (R),0,Good,Good,1
35010,Moreton Bay (R),35010,Moreton Bay (R),1,Good,Good,0
35250,Mornington (S),35250,Mornington (S),1,Good,Good,0
35300,Mount Isa (C),35300,Mount Isa (C),1,Good,Good,0
35600,Murweh (S),35600,Murweh (S),1,Good,Good,0
35670,Napranum (S),35670,Napranum (S),1,Good,Good,0
35740,Noosa (S),35740,Noosa (S),0.9999316,Good,Good,0
35740,Noosa (S),36720,Sunshine Coast (R),6.84E-05,Good,Good,1
35760,North Burnett (R),35760,North Burnett (R),1,Good,Good,0
35780,Northern Peninsula Area (R),35780,Northern Peninsula Area (R),0.9999991,Good,Good,0
35780,Northern Peninsula Area (R),,,9.00E-07,NA,Good,4
35790,Palm Island (S),35790,Palm Island (S),1,Good,Good,0
35800,Paroo (S),35800,Paroo (S),1,Good,Good,0
36070,Pormpuraaw (S),30250,Aurukun (S),3.00E-06,Good,Good,1
36070,Pormpuraaw (S),36070,Pormpuraaw (S),0.999997,Good,Good,0
